Participant,Age,Gender,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
455,35,Male    ,CS2_Positive_CS1_Negative,-0.074169824,-2,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
457,24,Female  ,CS1_Positive_CS2_Negative,0.707416781,10,Morag,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
461,33,Female  ,CS2_Positive_CS1_Negative,-0.208820195,-10,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
469,29,Male    ,CS2_Positive_CS1_Negative,-0.316768393,0,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
478,24,Female  ,CS2_Positive_CS1_Negative,-0.05155855,-5.5,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
483,26,Female  ,CS1_Positive_CS2_Negative,-0.145779986,4,neitherBrand,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
485,36,Male    ,CS2_Positive_CS1_Negative,0.051615356,-4,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
492,39,Female  ,CS1_Positive_CS2_Negative,0.485508049,0,Idon'tknow,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
502,38,Male    ,CS2_Positive_CS1_Negative,-0.203740105,-7.25,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
504,27,Female  ,CS2_Positive_CS1_Negative,0.095343989,-0.25,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
515,30,Female  ,CS1_Positive_CS2_Negative,0.391114767,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
527,40,Male    ,CS2_Positive_CS1_Negative,-0.380724213,-5,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
537,19,Female  ,CS1_Positive_CS2_Negative,-0.12622955,1.25,neitherBrand,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
542,22,Male    ,CS2_Positive_CS1_Negative,-0.434926323,-9.5,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
11,19,Male    ,CS1_Positive_CS2_Negative,0.229050803,0,bothMoragandStruan,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
16,21,Male    ,CS2_Positive_CS1_Negative,-0.510704193,-5.75,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
30,32,Male    ,CS2_Positive_CS1_Negative,-0.557218721,1.75,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
