Participant,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
80,CS2_Positive_CS1_Negative,-0.9902606344896981,-10,bothMoragandStruan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
96,CS2_Positive_CS1_Negative,0.3539603537196509,-3.75,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
106,CS2_Positive_CS1_Negative,-0.13674231641373508,-5,neitherBrand,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
108,CS2_Positive_CS1_Negative,0.554772876509642,-0.5,Struan,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
119,CS1_Positive_CS2_Negative,0.6325853104652344,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
123,CS2_Positive_CS1_Negative,-0.5311139018543714,-6,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
137,CS2_Positive_CS1_Negative,-0.9728639380108477,-10,Idon'tknow,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
141,CS2_Positive_CS1_Negative,-0.7409821669223798,-8.5,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
142,CS2_Positive_CS1_Negative,-0.33975109108350277,-9,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
150,CS1_Positive_CS2_Negative,0.48337359344548925,5,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
160,CS2_Positive_CS1_Negative,-0.5021211414195437,-3,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
161,CS1_Positive_CS2_Negative,0.81951006625051,8,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
169,CS2_Positive_CS1_Negative,0.11046580605659992,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
170,CS2_Positive_CS1_Negative,-0.4331022569566305,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
198,CS1_Positive_CS2_Negative,0.7608609717463024,10,Morag,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
227,CS1_Positive_CS2_Negative,0.7012647957381305,7,Morag,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
98,CS1_Positive_CS2_Negative,0.6528575354515507,4,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
55,CS1_Positive_CS2_Negative,0.8752262818181757,0,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
193,CS1_Positive_CS2_Negative,0.7184997854786939,6,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
235,CS2_Positive_CS1_Negative,0.4688328999017613,0.75,bothMoragandStruan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
36,CS1_Positive_CS2_Negative,0.8324772544983796,9,Morag,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
83,CS1_Positive_CS2_Negative,0.634502466472021,7,Idon'tknow,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
73,CS2_Positive_CS1_Negative,-0.1601787531286482,0,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
109,CS2_Positive_CS1_Negative,-0.25852698814062114,-1.5,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
17,CS1_Positive_CS2_Negative,-0.1865394240736446,7,Struan,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
100,CS1_Positive_CS2_Negative,-0.4795471675398221,6,Idon'tknow,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
192,CS2_Positive_CS1_Negative,-0.005999296068149806,-3.75,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
101,CS1_Positive_CS2_Negative,0.4063807605560662,0,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
26,CS2_Positive_CS1_Negative,-0.06944105594491011,-6.5,Struan,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
220,CS2_Positive_CS1_Negative,-0.48985092461627205,0,Struan,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
15,CS2_Positive_CS1_Negative,-0.22955728215521182,-10,Struan,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
9,CS2_Positive_CS1_Negative,-0.7611800906988632,-10,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
148,CS1_Positive_CS2_Negative,0.3941702738298258,0,Idon'tknow,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
