Participant,Age,Gender,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,us_valence_contingency_memory,CS_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
160,30,female  ,CS2_Positive_CS1_Negative,-0.223454965,-3,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165,20,other   ,CS2_Positive_CS1_Negative,-0.168257642,-8.25,Struan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
177,23,male    ,CS1_Positive_CS2_Negative,0.659739879,6.5,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
182,22,male    ,CS2_Positive_CS1_Negative,-0.53064495,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
188,18,male    ,CS1_Positive_CS2_Negative,-0.530370977,-3,Struan,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
189,26,male    ,CS2_Positive_CS1_Negative,-0.349058703,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
196,36,male    ,CS1_Positive_CS2_Negative,0.837263401,9,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
206,20,male    ,CS2_Positive_CS1_Negative,-0.888236729,-4.75,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
211,35,male    ,CS1_Positive_CS2_Negative,0.264771816,0.75,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
217,40,male    ,CS1_Positive_CS2_Negative,1.064053842,8,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
229,30,male    ,CS2_Positive_CS1_Negative,-0.794174989,0,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
236,24,male    ,CS1_Positive_CS2_Negative,0.122766951,2.5,Morag,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
238,21,male    ,CS2_Positive_CS1_Negative,-0.445784209,0.5,Struan,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
261,20,female  ,CS2_Positive_CS1_Negative,0.904869726,0,Morag,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
262,18,male    ,CS2_Positive_CS1_Negative,-1.089346835,-9.25,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
270,19,male    ,CS2_Positive_CS1_Negative,-0.713936689,0.5,Struan,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
274,28,male    ,CS1_Positive_CS2_Negative,0.668069546,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
280,43,male    ,CS2_Positive_CS1_Negative,-0.278870046,-1.5,Struan,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
292,33,female  ,CS1_Positive_CS2_Negative,-0.129917137,-0.25,Morag,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
307,34,male    ,CS1_Positive_CS2_Negative,-0.357049385,-8.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
319,26,male    ,CS2_Positive_CS1_Negative,-0.36801902,-5.5,Struan,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
340,43,male    ,CS1_Positive_CS2_Negative,0.859888549,10,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
349,30,male    ,CS2_Positive_CS1_Negative,-0.423570156,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
356,21,male    ,CS1_Positive_CS2_Negative,0.118576789,6.25,Struan,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
360,25,female  ,CS2_Positive_CS1_Negative,0.787640427,-6,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
370,33,female  ,CS1_Positive_CS2_Negative,0.673493716,10,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
375,28,female  ,CS2_Positive_CS1_Negative,0.891401907,5.5,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
376,30,female  ,CS2_Positive_CS1_Negative,-0.192135355,0,neitherBrand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
377,27,female  ,CS1_Positive_CS2_Negative,-0.394696464,-2,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
388,18,male    ,CS1_Positive_CS2_Negative,0.566454269,2,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
392,42,female  ,CS2_Positive_CS1_Negative,0.508276511,0,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
393,19,female  ,CS1_Positive_CS2_Negative,0.794034582,9.5,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
405,22,male    ,CS2_Positive_CS1_Negative,0.788648186,0,Struan,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
416,18,female  ,CS2_Positive_CS1_Negative,-0.113012693,4.25,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
419,23,female  ,CS1_Positive_CS2_Negative,0.504956901,8,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
421,20,female  ,CS2_Positive_CS1_Negative,-0.036300339,-2,neitherBrand,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
437,19,female  ,CS2_Positive_CS1_Negative,-0.387217157,-1.75,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
460,22,female  ,CS1_Positive_CS2_Negative,-0.324768207,0.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
461,36,male    ,CS2_Positive_CS1_Negative,-0.82373407,-4.75,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
465,25,male    ,CS1_Positive_CS2_Negative,0.280382717,0.75,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
466,42,female  ,CS1_Positive_CS2_Negative,0.492128509,7,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
482,23,male    ,CS1_Positive_CS2_Negative,0.603260121,0,Morag,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
484,33,male    ,CS1_Positive_CS2_Negative,-0.108765751,4,Morag,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
488,29,male    ,CS2_Positive_CS1_Negative,-0.989159354,-1.25,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
489,30,female  ,CS1_Positive_CS2_Negative,0.835916557,5,Morag,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
490,27,male    ,CS1_Positive_CS2_Negative,-0.734705428,-2,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
493,31,female  ,CS2_Positive_CS1_Negative,-0.55688001,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
498,28,male    ,CS1_Positive_CS2_Negative,-0.359518791,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
499,38,male    ,CS1_Positive_CS2_Negative,-0.446568195,8.25,neitherBrand,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
521,21,male    ,CS1_Positive_CS2_Negative,0.062786471,1,Morag,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
530,22,male    ,CS1_Positive_CS2_Negative,0.861200694,8,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
544,25,male    ,CS2_Positive_CS1_Negative,-0.145757678,0.5,Struan,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
575,37,male    ,CS2_Positive_CS1_Negative,0.436084591,2.75,Struan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
589,34,male    ,CS2_Positive_CS1_Negative,0.663602344,0,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
591,31,female  ,CS2_Positive_CS1_Negative,0.927106554,0,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
596,34,male    ,CS1_Positive_CS2_Negative,0.406695141,1,neitherBrand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
630,19,male    ,CS2_Positive_CS1_Negative,-0.148977235,0,neitherBrand,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
633,29,female  ,CS1_Positive_CS2_Negative,0.493550002,8,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
640,32,male    ,CS2_Positive_CS1_Negative,-0.563909386,-10,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
